 000000">\n 	 : 1
 natureza"}}]},"shortcode":"BnW61TlHWv2","edge_media_to_comment":{"count":2},"taken_at_timestamp":1536179880,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/d52b8e7830af242697ebada5c596313a/5C28FA21/t51.2885-15/e35/39961350_1809437265842777_2093600329052048541_n.jpg","edge_liked_by":{"count":27},"edge_media_preview_like":{"count":27},"owner":{"id":"8436503446"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/a908a8465593b68aa878a896e30077f0/5C26109B/t51.2885-15/sh0.08/e35/s640x640/39961350_1809437265842777_2093600329052048541_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/20ebcd169ac476cf1ea8ec2d1805dc69/5C2C991E/t51.2885-15/e35/s150x150/39961350_1809437265842777_2093600329052048541_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/dd3b7267414bf0b90ed0369ac614c1e5/5C2C0F18/t51.2885-15/e35/s240x240/39961350_1809437265842777_2093600329052048541_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/b7a7bda5b5742541e93e3709580f95aa/5C18BC66/t51.2885-15/e35/s320x320/39961350_1809437265842777_2093600329052048541_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/adf7d234ff86af7f05b9334dadcfef97/5C24BA21/t51.2885-15/e35/s480x480/39961350_1809437265842777_2093600329052048541_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a908a8465593b68aa878a896e30077f0/5C26109B/t51.2885-15/sh0.08/e35/s640x640/39961350_1809437265842777_2093600329052048541_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphVideo","id":"1861926371304028009","edge_media_to_caption":{"edges":[{"node":{"text":"1 	 : 1
 lanchedatarde 	 : 1
 detox 	 : 1
 reeduca\\u00e7\\u00e3oalimentar 	 : 1
 nutricionistaesportivafuncional 	 : 1
 antiinflammatory 	 : 1
 escolhasaudavel 	 : 1
 nutricaofuncional 	 : 1
 flv 	 : 1
 vivamais 	 : 1
 pimenta 	 : 1
 antioxidantes 	 : 1
 pratocolorido 	 : 1
 nutricaoesportiva 	 : 1
 nutricaofuncional"}}]},"shortcode":"BnW5Ct3gjdp","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536179357,"dimensions":{"height":421,"width":750},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/84743a4405be25727b9e3a9c9e3ab1a7/5B92EE34/t51.2885-15/e15/40169238_232461714094123_8383667541805775913_n.jpg","edge_liked_by":{"count":14},"edge_media_preview_like":{"count":14},"owner":{"id":"557038079"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/a18335a36a400810984680477d7ce170/5B92E1F7/t51.2885-15/e15/c157.0.405.405/40169238_232461714094123_8383667541805775913_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/701f3dbb69523e3fd9affbe147e6d560/5B929E00/t51.2885-15/e15/c157.0.405.405/s150x150/40169238_232461714094123_8383667541805775913_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/613f41a607be66a0b324e5ad2da69f03/5B92ADCA/t51.2885-15/e15/c157.0.405.405/s240x240/40169238_232461714094123_8383667541805775913_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/ea90ed2c597cc861fa305f24ea09ad20/5B926930/t51.2885-15/e15/c157.0.405.405/s320x320/40169238_232461714094123_8383667541805775913_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a18335a36a400810984680477d7ce170/5B92E1F7/t51.2885-15/e15/c157.0.405.405/40169238_232461714094123_8383667541805775913_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a18335a36a400810984680477d7ce170/5B92E1F7/t51.2885-15/e15/c157.0.405.405/40169238_232461714094123_8383667541805775913_n.jpg","config_width":640,"config_height":640}],"is_video":true,"video_view_count":64}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861929188718956416","edge_media_to_caption":{"edges":[{"node":{"text":"Pos 	 : 1
 borala 	 : 1
 vamoquevamo 	 : 1
 segueoplano 	 : 1
 nadapedalacorre 	 : 1
 alimentacaosaudavel 	 : 1
 ajudanacozinhafit 	 : 1
 bcaa 	 : 1
 ovo 	 : 1
 egg 	 : 1
 pao 	 : 1
 simplesassim"}}]},"shortcode":"BnW5rtyhk-A","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536179277,"dimensions":{"height":1331,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/6ff5b1f956db0a72435813b3d6c7380f/5C20057C/t51.2885-15/e35/40470292_2135456213440565_4405698091523891162_n.jpg","edge_liked_by":{"count":12},"edge_media_preview_like":{"count":12},"owner":{"id":"5810395314"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/31c78b9da04a240ef30582da25547be8/5C18C9EA/t51.2885-15/sh0.08/e35/c0.125.1080.1080/s640x640/40470292_2135456213440565_4405698091523891162_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/5419a35228dcaea188516f3130471242/5C196A7D/t51.2885-15/e35/c0.125.1080.1080/s150x150/40470292_2135456213440565_4405698091523891162_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/11b14171edbec64538bf48670635a2ca/5C373E7B/t51.2885-15/e35/c0.125.1080.1080/s240x240/40470292_2135456213440565_4405698091523891162_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/0d9f45ed5cede178f3af8cbd07cc9568/5C23EB05/t51.2885-15/e35/c0.125.1080.1080/s320x320/40470292_2135456213440565_4405698091523891162_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/9d36fa7906ee8b318e8bd72b2c03b09a/5C386442/t51.2885-15/e35/c0.125.1080.1080/s480x480/40470292_2135456213440565_4405698091523891162_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/31c78b9da04a240ef30582da25547be8/5C18C9EA/t51.2885-15/sh0.08/e35/c0.125.1080.1080/s640x640/40470292_2135456213440565_4405698091523891162_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861928237651912227","edge_media_to_caption":{"edges":[{"node":{"text":"Muito 	 : 1
 correbabi 	 : 1
 equilibrio 	 : 1
 gratidao 	 : 1
 ovos 	 : 1
 runnergirl 	 : 1
 runners 	 : 1
 yogalife 	 : 1
 divasquecorremrj 	 : 1
 maesquecorrem 	 : 1
 maesquetreinam 	 : 1
 quase40 	 : 1
 maedetres 	 : 1
 healthylife 	 : 1
 motivacao 	 : 1
 atitudeboaforma\\n#lanche 	 : 1
 xostress 	 : 1
 vemferiado\\n#love 	 : 1
 boratreinar 	 : 1
 health 	 : 1
 comidadeverdade"}}]},"shortcode":"BnW5d4CguYj","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536179164,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/a13fad85f076842985598ccb0b6117a3/5C33B4CC/t51.2885-15/e35/40423594_696888757363960_4973988341163753472_n.jpg","edge_liked_by":{"count":11},"edge_media_preview_like":{"count":11},"owner":{"id":"470535333"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/2e9849cd38d04b6c3cb21837f908a952/5C216329/t51.2885-15/sh0.08/e35/s640x640/40423594_696888757363960_4973988341163753472_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/1712c03cc8159778311265774e594a19/5C1E548E/t51.2885-15/e35/s150x150/40423594_696888757363960_4973988341163753472_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/8e3d8f74840ff2ff60c25245aaebfa26/5C1F0FC4/t51.2885-15/e35/s240x240/40423594_696888757363960_4973988341163753472_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/b4b7c184d670a2e0f291f09f846b09da/5C25B97E/t51.2885-15/e35/s320x320/40423594_696888757363960_4973988341163753472_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6104e76be849314e7e7d931c58ba30c0/5C38C424/t51.2885-15/e35/s480x480/40423594_696888757363960_4973988341163753472_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2e9849cd38d04b6c3cb21837f908a952/5C216329/t51.2885-15/sh0.08/e35/s640x640/40423594_696888757363960_4973988341163753472_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphVideo","id":"1861920371276530450","edge_media_to_caption":{"edges":[{"node":{"text":"Creme 	 : 1
 whey 	 : 1
 lanche 	 : 1
 verde"}}]},"shortcode":"BnW3rZ6AEMS","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536178237,"dimensions":{"height":765,"width":612},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/f58baa04cfed14d7278c8d3a92f0a989/5B92BDD5/t51.2885-15/e15/40051129_243902262988601_6612020218433055215_n.jpg","edge_liked_by":{"count":16},"edge_media_preview_like":{"count":16},"owner":{"id":"21620622"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/fa3817e8a7a77e2a2709140159b78b51/5B927338/t51.2885-15/e15/c0.76.612.612/40051129_243902262988601_6612020218433055215_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/b9fbb112aca23206c752e92f39230f92/5B92C13B/t51.2885-15/e15/c0.76.612.612/s150x150/40051129_243902262988601_6612020218433055215_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/1b3d73ce72f92de266dba6e05096dfac/5B927C31/t51.2885-15/e15/c0.76.612.612/s240x240/40051129_243902262988601_6612020218433055215_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/056e443939bd324ede07012fcf98eac1/5B92D60B/t51.2885-15/e15/c0.76.612.612/s320x320/40051129_243902262988601_6612020218433055215_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/251c1a3e7d43e3d3017931def0f13f9b/5B92B8D1/t51.2885-15/e15/c0.76.612.612/s480x480/40051129_243902262988601_6612020218433055215_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/fa3817e8a7a77e2a2709140159b78b51/5B927338/t51.2885-15/e15/c0.76.612.612/40051129_243902262988601_6612020218433055215_n.jpg","config_width":640,"config_height":640}],"is_video":true,"video_view_count":135}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861919087603407295","edge_media_to_caption":{"edges":[{"node":{"text":"Embora 	 : 1
 fome#abacate#correr#wheyprotein#feliz#academia#saude#bemestar#promocao#protein#gordura#bh#minasgerais#gv#governadorvaladares#mg#ipatinga#coronelfabriciano#timoteo#valedoaco#crossfit#consulta#endocrinologista#homem#mulher#resultado#fitfood#medico#joaomonlevade"}}]},"shortcode":"BnW22Rpgn2F","edge_media_to_comment":{"count":2},"taken_at_timestamp":1536177791,"dimensions":{"height":1296,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/ba04d3e7d1e500c9b0af42e99e61b60f/5C1529FE/t51.2885-15/e35/p1080x1080/40447649_306005493465213_2813859768278450176_n.jpg","edge_liked_by":{"count":140},"edge_media_preview_like":{"count":140},"owner":{"id":"5590856294"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/2b80d8a69173a0201a2389dea2e58eb7/5C27A0F2/t51.2885-15/sh0.08/e35/c0.110.1100.1100/s640x640/40447649_306005493465213_2813859768278450176_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/aa30774d6863f3cdaaa531fac72cb0e6/5C15A9E9/t51.2885-15/e35/c0.110.1100.1100/s150x150/40447649_306005493465213_2813859768278450176_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/699eb4841d77b18ae96eef0ab0abda1d/5C2343A3/t51.2885-15/e35/c0.110.1100.1100/s240x240/40447649_306005493465213_2813859768278450176_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/d40da20228f92f2eedf299f9780809f3/5C288D19/t51.2885-15/e35/c0.110.1100.1100/s320x320/40447649_306005493465213_2813859768278450176_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/dfafbd4a7d928af7102760dab7d0de65/5C14B443/t51.2885-15/e35/c0.110.1100.1100/s480x480/40447649_306005493465213_2813859768278450176_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2b80d8a69173a0201a2389dea2e58eb7/5C27A0F2/t51.2885-15/sh0.08/e35/c0.110.1100.1100/s640x640/40447649_306005493465213_2813859768278450176_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861916491117588098","edge_media_to_caption":{"edges":[{"node":{"text":"Abacate! 	 : 1
 sa\\u00fade 	 : 1
 fruta 	 : 1
 gorduraboa 	 : 1
 saciedade 	 : 1
 lowcarb"}}]},"shortcode":"BnW2y8OgW6C","edge_media_to_comment":{"count":3},"taken_at_timestamp":1536177763,"dimensions":{"height":1350,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/38b2d1b1b9dbc3bd95670461b6576229/5C1A1886/t51.2885-15/e35/39894809_243705586488109_9116720636777136187_n.jpg","edge_liked_by":{"count":29},"edge_media_preview_like":{"count":29},"owner":{"id":"1611584772"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/7f56452fc0e3682af7f87c738a676a81/5C358C41/t51.2885-15/sh0.08/e35/c0.126.1012.1012/s640x640/39894809_243705586488109_9116720636777136187_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/4380a535a1ff6fd8e59aa630491ebc35/5C33475A/t51.2885-15/e35/c0.126.1012.1012/s150x150/39894809_243705586488109_9116720636777136187_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/f61074d8d1e24a694b7dc6683f279556/5C288F10/t51.2885-15/e35/c0.126.1012.1012/s240x240/39894809_243705586488109_9116720636777136187_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e9fcf5c5470c0d1070759f2fda7149bf/5C318EAA/t51.2885-15/e35/c0.126.1012.1012/s320x320/39894809_243705586488109_9116720636777136187_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/607b5832ed2456f6419fed048102f180/5C303CF0/t51.2885-15/e35/c0.126.1012.1012/s480x480/39894809_243705586488109_9116720636777136187_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/7f56452fc0e3682af7f87c738a676a81/5C358C41/t51.2885-15/sh0.08/e35/c0.126.1012.1012/s640x640/39894809_243705586488109_9116720636777136187_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861915227675912485","edge_media_to_caption":{"edges":[{"node":{"text":".\\nDICA 	 : 1
 EscolaColibri 	 : 1
 Desde1991 	 : 1
 Tradi\\u00e7\\u00e3o 	 : 1
 Crian\\u00e7a 	 : 1
 Bel\\u00e9mPar\\u00e1 	 : 1
 Educa\\u00e7\\u00e3oInfantil 	 : 1
 Psicomotricidade 	 : 1
 ColibriBaby 	 : 1
 UnidadeConselheiro 	 : 1
 Ber\\u00e7\\u00e1rio 	 : 1
 Hor\\u00e1rioIntegral 	 : 1
 CentroEducacional 	 : 1
 UnidadeS\\u00e3oPedro 	 : 1
 EnsinoFundamental 	 : 1
 Fruta"}}]},"shortcode":"BnW2gjjg2kl","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536177613,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/c963c084a14ad70a1b09a3aefdf8eb5d/5C36257C/t51.2885-15/e35/40015717_2233583356856293_2752570175931600886_n.jpg","edge_liked_by":{"count":23},"edge_media_preview_like":{"count":23},"owner":{"id":"6937998053"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/30daedfde23f3a9e7ef2178617610bc9/5C226DC6/t51.2885-15/sh0.08/e35/s640x640/40015717_2233583356856293_2752570175931600886_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/b24f66df6f5612ce54166c2333e7d09c/5C1E5B43/t51.2885-15/e35/s150x150/40015717_2233583356856293_2752570175931600886_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/51ff4f926980b963893a68fee6cbc48e/5C170E45/t51.2885-15/e35/s240x240/40015717_2233583356856293_2752570175931600886_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/1fb3857acdaa23ac36a75751eed2a8cf/5C31513B/t51.2885-15/e35/s320x320/40015717_2233583356856293_2752570175931600886_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/fea78d63aa39b6312b426900e8fe018a/5C2B1E7C/t51.2885-15/e35/s480x480/40015717_2233583356856293_2752570175931600886_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/30daedfde23f3a9e7ef2178617610bc9/5C226DC6/t51.2885-15/sh0.08/e35/s640x640/40015717_2233583356856293_2752570175931600886_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861910703717573441","edge_media_to_caption":{"edges":[{"node":{"text":"Amiga, 	 : 1
 frango 	 : 1
 arepa 	 : 1
 guacamole 	 : 1
 comidadeverdade 	 : 2
 comerbemfazbem 	 : 2
 saude 	 : 2
 dieta 	 : 2
 Abacate 	 : 2
 fitness 	 : 2
 saudavel 	 : 2
 nutri\\u00e7\\u00e3o 	 : 2
 nutricionista 	 : 2
 5aodia 	 : 2
 postreino 	 : 2
 foco 	 : 2
 vidasaudavel 	 : 2
 Alimenta\\u00e7\\u00e3oSaud\\u00e1vel 	 : 2
 foconadieta 	 : 3
 avocado 	 : 3
 reeducacaoalimentar 	 : 3
 abacate 	 : 14
